Year/Fraction of Year,Number of observations,GMSL variation (GIA not applied) (mm),Std. Deviation variation estimate (GIA not applied) (mm),Smoothed GMSL variation (GIA not applied) (mm),GMSL  variation (GIA applied) (mm),Std. deviation variation estimate (GIA applied) (mm),Smoothed GMSL variation (GIA applied) (mm)
1993.0,466466,-40.28,97.64,-40.64,-40.27,97.64,-40.63
1993.0,460890,-44.2,100.97,-41.9,-44.19,100.96,-41.89
1993.1,472125,-44.17,97.73,-42.04,-44.15,97.72,-42.02
1993.1,421381,-46.32,101.99,-42.38,-46.3,101.97,-42.36
1993.1,459550,-40.91,99.63,-41.6,-40.87,99.62,-41.57
1993.1,416487,-39.32,98.01,-40.54,-39.28,98,-40.5
1993.2,467982,-38.86,96.18,-39.56,-38.82,96.17,-39.52
1993.2,466077,-37.62,96.2,-38.85,-37.57,96.18,-38.8
1993.2,461213,-37.8,96.14,-38.45,-37.74,96.11,-38.39
1993.3,467274,-45.73,107.39,-38.34,-45.66,107.37,-38.27
1993.3,461744,-39.55,94.35,-38.49,-39.48,94.32,-38.42
1993.3,469833,-36.22,93.55,-38.89,-36.13,93.51,-38.8
1993.3,467661,-38.38,93.32,-39.46,-38.29,93.28,-39.37
1993.4,467936,-41.33,93.72,-39.96,-41.23,93.68,-39.85
1993.4,470043,-42.35,93.96,-40.46,-42.24,93.92,-40.35
1993.4,471722,-42.08,93.66,-40.41,-41.96,93.62,-40.29
1993.4,468852,-39.13,93.89,-40.4,-39,93.85,-40.27
1993.5,468773,-39.16,92.85,-40.19,-39.03,92.81,-40.06
1993.5,448244,-39.82,91.41,-40.05,-39.69,91.37,-39.91
1993.5,461234,-41.09,93.27,-39.88,-40.94,93.23,-39.73
1993.6,258734,-37.32,99,-39.48,-37.17,98.97,-39.32
1993.6,456886,-39.97,95.83,-38.76,-39.81,95.8,-38.6
1993.6,424745,-39.5,96.82,-37.85,-39.34,96.79,-37.68
1993.6,453729,-35.68,95.9,-36.94,-35.5,95.88,-36.76
1993.7,451302,-34.51,95.04,-36.14,-34.33,95.02,-35.96
1993.7,453813,-36.13,92.84,-35.37,-35.94,92.81,-35.18
1993.7,411294,-37.06,93.7,-34.59,-36.86,93.68,-34.39
1993.7,455695,-33.18,92.68,-33.73,-32.97,92.66,-33.53
1993.8,452877,-29.57,92.93,-33.11,-29.36,92.92,-32.89
1993.8,454650,-31.83,91.09,-32.97,-31.61,91.08,-32.75
1993.8,465492,-35.9,100.18,-33.43,-35.67,100.15,-33.21
1993.9,463414,-34.04,91.19,-34.18,-33.81,91.17,-33.95
1993.9,462117,-35.48,91.81,-34.71,-35.24,91.77,-34.47
1993.9,451860,-37.29,91.71,-34.82,-37.04,91.66,-34.57
1993.9,470802,-35.8,90.78,-34.65,-35.54,90.73,-34.4
1994.0,472633,-30.41,90.9,-34.5,-30.15,90.85,-34.23
1994.0,463199,-33.56,91.44,-35.02,-33.28,91.38,-34.75
1994.0,472732,-37.04,91.08,-35.22,-36.76,91,-34.94
1994.0,465775,-35.12,89.2,-35.74,-34.84,89.12,-35.45
1994.1,464596,-33.14,88.74,-36.69,-32.84,88.64,-36.4
1994.1,467066,-38.84,89.91,-37.69,-38.54,89.8,-37.39
1994.1,472856,-42.11,90.92,-38.4,-41.8,90.8,-38.09
1994.2,472073,-41.12,92.52,-38.49,-40.8,92.4,-38.18
1994.2,464135,-37.06,92.56,-37.87,-36.74,92.43,-37.55
1994.2,381477,-41.48,98.68,-36.91,-41.16,98.55,-36.57
1994.2,468379,-32.31,89.47,-36.3,-31.97,89.34,-35.96
1994.3,467859,-35.95,90.05,-36.45,-35.6,89.92,-36.1
1994.3,467848,-36.5,90.51,-37.5,-36.14,90.36,-37.14
1994.3,467646,-37.94,90.14,-38.32,-37.58,89.99,-37.95
1994.3,472393,-39.68,89.1,-39.48,-39.31,88.96,-39.11
1994.4,468079,-41.44,90.85,-40.19,-41.06,90.72,-39.81
1994.4,469184,-43.95,92.34,-41.02,-43.56,92.21,-40.64
1994.4,469231,-41.64,89.76,-41.23,-41.25,89.62,-40.84
1994.5,466690,-38.83,89.61,-41.14,-38.44,89.48,-40.75
1994.5,473869,-47.26,98.12,-40.89,-46.86,97.99,-40.49
1994.5,445229,-43.55,90.63,-40.51,-43.14,90.5,-40.1
1994.5,461562,-39.37,90.38,-39.99,-38.95,90.26,-39.57
1994.6,454521,-38.91,93.69,-39.37,-38.49,93.59,-38.95
1994.6,454380,-38.92,95.31,-38.66,-38.49,95.23,-38.23
1994.6,456252,-39.09,96.17,-37.83,-38.65,96.09,-37.39
1994.6,454271,-36.84,97.15,-36.75,-36.39,97.08,-36.3
1994.7,450951,-36.33,98,-35.86,-35.87,97.95,-35.4
1994.7,445430,-32.85,98.83,-34.84,-32.39,98.81,-34.38
1994.7,450743,-33.76,101.27,-34.01,-33.29,101.25,-33.54
1994.8,445853,-34.46,97.98,-33.36,-33.98,97.95,-32.88
1994.8,444457,-32.35,97.4,-32.89,-31.86,97.37,-32.4
1994.8,457269,-30.57,97.25,-32.71,-30.08,97.21,-32.22
1994.8,457991,-32.03,99.09,-32.98,-31.53,99.03,-32.48
1994.9,405793,-26.29,105.21,-33.63,-25.78,105.18,-33.12
1994.9,458377,-34.84,101.01,-34.26,-34.32,100.95,-33.74
